energy,date
81070,1/1/2017
72944,1/2/2017
100065,1/3/2017
83777,1/4/2017
81355,1/5/2017
76814,1/6/2017
75731,1/7/2017
78395,1/8/2017
84767,1/9/2017
77491,1/10/2017
83650,1/11/2017
76995,1/12/2017
72074,1/13/2017
67706,1/14/2017
71378,1/15/2017
92291,1/16/2017
87894,1/17/2017
105457,1/18/2017
113716,1/19/2017
120881,1/20/2017
120709,1/21/2017
133660,1/22/2017
133730,1/23/2017
109663,1/24/2017
109011,1/25/2017
93020,1/26/2017
82844,1/27/2017
70850,1/28/2017
73361,1/29/2017
80330,1/30/2017
110847,1/31/2017
138598,2/1/2017
151235,2/2/2017
166325,2/3/2017
172020,2/4/2017
176187,2/5/2017
169714,2/6/2017
111814,2/7/2017
83112,2/8/2017
120783,2/9/2017
153357,2/10/2017
128594,2/11/2017
118862,2/12/2017
110586,2/13/2017
108248,2/14/2017
106212,2/15/2017
104634,2/16/2017
115580,2/17/2017
117393,2/18/2017
101998,2/19/2017
119152,2/20/2017
124184,2/21/2017
138300,2/22/2017
127993,2/23/2017
143422,2/24/2017
141271,2/25/2017
135353,2/26/2017
140637,2/27/2017
152287,2/28/2017
140451,3/1/2017
139469,3/2/2017
143989,3/3/2017
138813,3/4/2017
141131,3/5/2017
145314,3/6/2017
127070,3/7/2017
113620,3/8/2017
133185,3/9/2017
138002,3/10/2017
132308,3/11/2017
129277,3/12/2017
121471,3/13/2017
113393,3/14/2017
111663,3/15/2017
115040,3/16/2017
91681,3/17/2017
126847,3/18/2017
102747,3/19/2017
94083,3/20/2017
97083,3/21/2017
98887,3/22/2017
93554,3/23/2017
91438,3/24/2017
86418,3/25/2017
83195,3/26/2017
80196,3/27/2017
75114,3/28/2017
75568,3/29/2017
66879,3/30/2017
58134,3/31/2017
48722,4/1/2017
49647,4/2/2017
59934,4/3/2017
64724,4/4/2017
41764,4/5/2017
60239,4/6/2017
66764,4/7/2017
68650,4/8/2017
81151,4/9/2017
86809,4/10/2017
81489,4/11/2017
99023,4/12/2017
99697,4/13/2017
92464,4/14/2017
107579,4/15/2017
120114,4/16/2017
132590,4/17/2017
142273,4/18/2017
127051,4/19/2017
138243,4/20/2017
141000,4/21/2017
110405,4/22/2017
64134,4/23/2017
61492,4/24/2017
62445,4/25/2017
68193,4/26/2017
59688,4/27/2017
58808,4/28/2017
59040,4/29/2017
64176,4/30/2017
61275,5/1/2017
59630,5/2/2017
60312,5/3/2017
62362,5/4/2017
63582,5/5/2017
64401,5/6/2017
59965,5/7/2017
63932,5/8/2017
63165,5/9/2017
68645,5/10/2017
53949,5/11/2017
67693,5/12/2017
70038,5/13/2017
61964,5/14/2017
70791,5/15/2017
71131,5/16/2017
69993,5/17/2017
67217,5/18/2017
72417,5/19/2017
66368,5/20/2017
72260,5/21/2017
70026,5/22/2017
64015,5/23/2017
64225,5/24/2017
62942,5/25/2017
69875,5/26/2017
62379,5/27/2017
77276,5/28/2017
79182,5/29/2017
80736,5/30/2017
71000,5/31/2017
85920,6/1/2017
70922,6/2/2017
62449,6/3/2017
62153,6/4/2017
64920,6/5/2017
47230,6/6/2017
78421,6/7/2017
62301,6/8/2017
63537,6/9/2017
47924,6/10/2017
75469,6/11/2017
76911,6/12/2017
65579,6/13/2017
76493,6/14/2017
81574,6/15/2017
73929,6/16/2017
74509,6/17/2017
70999,6/18/2017
70681,6/19/2017
70363,6/20/2017
72433,6/21/2017
72429,6/22/2017
71963,6/23/2017
62807,6/24/2017
76493,6/25/2017
76470,6/26/2017
63780,6/27/2017
66695,6/28/2017
61618,6/29/2017
57396,6/30/2017
68195,7/1/2017
90378,7/2/2017
61963,7/3/2017
63332,7/4/2017
64702,7/5/2017
61803,7/6/2017
63157,7/7/2017
62567,7/8/2017
71491,7/9/2017
74118,7/10/2017
64796,7/11/2017
96027,7/12/2017
67123,7/13/2017
68250,7/14/2017
67432,7/15/2017
68547,7/16/2017
67352,7/17/2017
80642,7/18/2017
53385,7/19/2017
57709,7/20/2017
60614,7/21/2017
62666,7/22/2017
57034,7/23/2017
59879,7/24/2017
62723,7/25/2017
68002,7/26/2017
67096,7/27/2017
65662,7/28/2017
67304,7/29/2017
63471,7/30/2017
61070,7/31/2017
103942,8/1/2017
66129,8/2/2017
60078,8/3/2017
61886,8/4/2017
66226,8/5/2017
66009,8/6/2017
63820,8/7/2017
70665,8/8/2017
71244,8/9/2017
67236,8/10/2017
73434,8/11/2017
70740,8/12/2017
71393,8/13/2017
62301,8/14/2017
70254,8/15/2017
71258,8/16/2017
67650,8/17/2017
72996,8/18/2017
65207,8/19/2017
66692,8/20/2017
68548,8/21/2017
69732,8/22/2017
67321,8/23/2017
69005,8/24/2017
65974,8/25/2017
61591,8/26/2017
63252,8/27/2017
66099,8/28/2017
66902,8/29/2017
46322,8/30/2017
51991,8/31/2017
62845,9/1/2017
69268,9/2/2017
71339,9/3/2017
71571,9/4/2017
73248,9/5/2017
69619,9/6/2017
71986,9/7/2017
59982,9/8/2017
24648,9/9/2017
37284,9/10/2017
39969,9/11/2017
42654,9/12/2017
60265,9/13/2017
38826,9/14/2017
34577,9/15/2017
30328,9/16/2017
65531,9/17/2017
65449,9/18/2017
63628,9/19/2017
31833,9/20/2017
36026,9/21/2017
40218,9/22/2017
37097,9/23/2017
42769,9/24/2017
32660,9/25/2017
40805,9/26/2017
44307,9/27/2017
65469,9/28/2017
40592,9/29/2017
39194,9/30/2017
69526,10/1/2017
66915,10/2/2017
64828,10/3/2017
79313,10/4/2017
63279,10/5/2017
69161,10/6/2017
69103,10/7/2017
67990,10/8/2017
65930,10/9/2017
71789,10/10/2017
70659,10/11/2017
72241,10/12/2017
87255,10/13/2017
121163,10/14/2017
71937,10/15/2017
73176,10/16/2017
74822,10/17/2017
74202,10/18/2017
74317,10/19/2017
74244,10/20/2017
75791,10/21/2017
78453,10/22/2017
74905,10/23/2017
80316,10/24/2017
77069,10/25/2017
74907,10/26/2017
75775,10/27/2017
78577,10/28/2017
64082,10/29/2017
105468,10/30/2017
66622,10/31/2017
80700,11/1/2017
78332,11/2/2017
78772,11/3/2017
82356,11/4/2017
83261,11/5/2017
83782,11/6/2017
92448,11/7/2017
99217,11/8/2017
95367,11/9/2017
102064,11/10/2017
102714,11/11/2017
108710,11/12/2017
106592,11/13/2017
101699,11/14/2017
98124,11/15/2017
96981,11/16/2017
107064,11/17/2017
96904,11/18/2017
78941,11/19/2017
76563,11/20/2017
80330,11/21/2017
75753,11/22/2017
83157,11/23/2017
91921,11/24/2017
82577,11/25/2017
90398,11/26/2017
114144,11/27/2017
100622,11/28/2017
99716,11/29/2017
105423,11/30/2017
123271,12/1/2017
102517,12/2/2017
85415,12/3/2017
94914,12/4/2017
99757,12/5/2017
106208,12/6/2017
106512,12/7/2017
106522,12/8/2017
99240,12/9/2017
103812,12/10/2017
124663,12/11/2017
121560,12/12/2017
118391,12/13/2017
119057,12/14/2017
129048,12/15/2017
123149,12/16/2017
125346,12/17/2017
126531,12/18/2017
95627,12/19/2017
114060,12/20/2017
117144,12/21/2017
117101,12/22/2017
118646,12/23/2017
120259,12/24/2017
116246,12/25/2017
121403,12/26/2017
119461,12/27/2017
117041,12/28/2017
120241,12/29/2017
125449,12/30/2017
125511,12/31/2017
85124,1/1/2018
81698,1/2/2018
105068,1/3/2018
89641,1/4/2018
89490,1/5/2018
89105,1/6/2018
88605,1/7/2018
95641,1/8/2018
99178,1/9/2018
91439,1/10/2018
87832,1/11/2018
80844,1/12/2018
75678,1/13/2018
71092,1/14/2018
74947,1/15/2018
96905,1/16/2018
92289,1/17/2018
110730,1/18/2018
119402,1/19/2018
126925,1/20/2018
126745,1/21/2018
140343,1/22/2018
140416,1/23/2018
115147,1/24/2018
114462,1/25/2018
97671,1/26/2018
86986,1/27/2018
74393,1/28/2018
77029,1/29/2018
84346,1/30/2018
116389,1/31/2018
145528,2/1/2018
158797,2/2/2018
174641,2/3/2018
180621,2/4/2018
184996,2/5/2018
178199,2/6/2018
117404,2/7/2018
106384,2/8/2018
126822,2/9/2018
161025,2/10/2018
135024,2/11/2018
124806,2/12/2018
116116,2/13/2018
113660,2/14/2018
111522,2/15/2018
109866,2/16/2018
121359,2/17/2018
123263,2/18/2018
107098,2/19/2018
125110,2/20/2018
130394,2/21/2018
145215,2/22/2018
134393,2/23/2018
150593,2/24/2018
148335,2/25/2018
142121,2/26/2018
147668,2/27/2018
159902,2/28/2018
147474,3/1/2018
146443,3/2/2018
151188,3/3/2018
145753,3/4/2018
148188,3/5/2018
152580,3/6/2018
133423,3/7/2018
119301,3/8/2018
139844,3/9/2018
144903,3/10/2018
138924,3/11/2018
135741,3/12/2018
127544,3/13/2018
119063,3/14/2018
117246,3/15/2018
120792,3/16/2018
96265,3/17/2018
133190,3/18/2018
107885,3/19/2018
98787,3/20/2018
101937,3/21/2018
103831,3/22/2018
98231,3/23/2018
96010,3/24/2018
101109,3/25/2018
100666,3/26/2018
105859,3/27/2018
106662,3/28/2018
102016,3/29/2018
92293,3/30/2018
61040,3/31/2018
57005,4/1/2018
